,Compound,Date,Negative,Neutral,Positive,Tweets Ago,target
456,-0.3384,Tue Jul 31 10:16:03 +0000 2018,0.741,0.162,0.097,57,nytimes
457,0.0,Tue Jul 31 10:00:09 +0000 2018,1.0,0.0,0.0,58,nytimes
458,0.0,Tue Jul 31 09:43:05 +0000 2018,1.0,0.0,0.0,59,nytimes
459,-0.7096,Tue Jul 31 09:31:02 +0000 2018,0.763,0.237,0.0,60,nytimes
460,-0.765,Tue Jul 31 09:14:05 +0000 2018,0.732,0.268,0.0,61,nytimes
461,-0.8225,Tue Jul 31 09:00:03 +0000 2018,0.678,0.322,0.0,62,nytimes
462,0.0,Tue Jul 31 08:45:03 +0000 2018,1.0,0.0,0.0,63,nytimes
463,0.5719,Tue Jul 31 08:33:04 +0000 2018,0.837,0.0,0.163,64,nytimes
464,-0.8176,Tue Jul 31 08:16:01 +0000 2018,0.737,0.263,0.0,65,nytimes
465,0.1027,Tue Jul 31 08:02:04 +0000 2018,0.787,0.097,0.116,66,nytimes
466,-0.5789,Tue Jul 31 07:47:02 +0000 2018,0.716,0.191,0.093,67,nytimes
467,-0.4404,Tue Jul 31 07:32:04 +0000 2018,0.861,0.139,0.0,68,nytimes
468,0.0,Tue Jul 31 07:17:06 +0000 2018,1.0,0.0,0.0,69,nytimes
469,0.0,Tue Jul 31 07:02:00 +0000 2018,1.0,0.0,0.0,70,nytimes
470,0.4019,Tue Jul 31 06:40:22 +0000 2018,0.876,0.0,0.124,71,nytimes
471,0.2263,Tue Jul 31 06:22:36 +0000 2018,0.888,0.0,0.112,72,nytimes
472,-0.7351,Tue Jul 31 06:04:37 +0000 2018,0.53,0.47,0.0,73,nytimes
473,0.6124,Tue Jul 31 06:04:37 +0000 2018,0.84,0.0,0.16,74,nytimes
474,0.5256,Tue Jul 31 05:48:21 +0000 2018,0.848,0.0,0.152,75,nytimes
475,0.5777,Tue Jul 31 05:32:04 +0000 2018,0.874,0.0,0.126,76,nytimes
476,-0.4019,Tue Jul 31 05:16:50 +0000 2018,0.816,0.184,0.0,77,nytimes
477,0.1779,Tue Jul 31 04:59:04 +0000 2018,0.914,0.0,0.086,78,nytimes
478,0.0,Tue Jul 31 04:42:03 +0000 2018,1.0,0.0,0.0,79,nytimes
479,-0.3991,Tue Jul 31 04:22:05 +0000 2018,0.772,0.15,0.078,80,nytimes
480,-0.5256,Tue Jul 31 04:02:02 +0000 2018,0.855,0.145,0.0,81,nytimes
481,-0.5267,Tue Jul 31 03:59:36 +0000 2018,0.672,0.328,0.0,82,nytimes
482,0.0,Tue Jul 31 03:47:01 +0000 2018,1.0,0.0,0.0,83,nytimes
483,-0.3182,Tue Jul 31 03:32:05 +0000 2018,0.887,0.113,0.0,84,nytimes
484,0.0,Tue Jul 31 03:17:02 +0000 2018,1.0,0.0,0.0,85,nytimes
485,-0.6486,Tue Jul 31 03:02:05 +0000 2018,0.798,0.202,0.0,86,nytimes
486,0.5023,Tue Jul 31 02:47:07 +0000 2018,0.817,0.0,0.183,87,nytimes
487,-0.4588,Tue Jul 31 02:32:02 +0000 2018,0.85,0.15,0.0,88,nytimes
488,-0.2641,Tue Jul 31 02:17:04 +0000 2018,0.648,0.199,0.153,89,nytimes
489,0.0,Tue Jul 31 02:02:06 +0000 2018,1.0,0.0,0.0,90,nytimes
490,-0.1027,Tue Jul 31 01:47:02 +0000 2018,0.924,0.076,0.0,91,nytimes
491,-0.0516,Tue Jul 31 01:32:04 +0000 2018,0.826,0.091,0.083,92,nytimes
492,0.2732,Tue Jul 31 01:17:02 +0000 2018,0.8,0.062,0.138,93,nytimes
493,0.0,Tue Jul 31 01:03:10 +0000 2018,1.0,0.0,0.0,94,nytimes
494,-0.296,Tue Jul 31 00:47:05 +0000 2018,0.901,0.099,0.0,95,nytimes
495,-0.4019,Tue Jul 31 00:32:03 +0000 2018,0.881,0.119,0.0,96,nytimes
496,0.8779,Tue Jul 31 00:17:02 +0000 2018,0.675,0.0,0.325,97,nytimes
497,-0.296,Tue Jul 31 00:02:08 +0000 2018,0.901,0.099,0.0,98,nytimes
498,0.0258,Mon Jul 30 23:47:05 +0000 2018,0.811,0.093,0.097,99,nytimes
499,-0.7184,Mon Jul 30 23:32:03 +0000 2018,0.75,0.25,0.0,100,nytimes
